====================================================================================================
全部精灵评分排行榜 (共135只)
====================================================================================================
排名   ID                  名称              属性                  总分      种族      属性      特性      技能     速度奖
56   NO.106              波多西             机械/地              38.6    40.7    54.0    32.0    48.0     0.0
57   NO.033              兽花蕾             光/草               38.5    66.8     2.0    20.0    54.0    56.0
58   NO.088              斑枭              翼                 38.5    70.3    16.0     4.0    55.7    56.0
59   NO.074              琉璃水母            水/毒               38.2    61.0    23.0    17.0    57.6    26.0
60   NO.086              窃光蚊             恶/光               38.2    69.6   -12.0    15.0    69.4    56.0
61   NO.129              疾光千兽            光                 38.0    71.2     6.0    18.0    48.3    48.0
62   NO.005              鸭吉吉（起来鸭）        普通                37.7    71.1     0.0    30.0    45.7    33.0
63   NO.045              花影羚羊            幽/恶               37.7    68.9     9.0     0.0    69.5    48.0
64   NO.145              贝古斯             机械/火              37.6    45.2    54.0    17.0    56.2     0.0
65   NO.065              尖嘴狐仙            火/冰               37.0    61.8    26.0     6.0    57.8    33.0
66   NO.138              春花兔             草                 36.9    63.6     2.0    22.0    55.5    40.0
67   NO.108              燃薪虫             火/草               36.8    65.0    26.0     5.0    53.8    33.0
68   NO.137              超能阿布            龙                 36.8    67.4    17.0     0.0    66.2    33.0
69   NO.042              叮叮恶魔            恶/翼               36.7    67.0     2.0    35.0    33.8    40.0
70   NO.126              古卷匣魔像           普通/武              36.7    61.9    15.0    20.0    53.0    26.0
71   NO.109              寒音蛇（本命年的样子）     萌/毒               36.7    60.9     9.0    30.0    44.3    33.0
72   NO.132              卡洛儿             水/萌               36.3    58.8     2.0    27.0    62.5    20.0
73   NO.071              月亮砣（下弦的样子）      毒/萌               36.3    65.5     9.0     5.0    64.2    40.0
74   NO.014              卡瓦重（雪山附近的样子）    草/冰               36.2    75.6    -9.0     0.0    51.5    88.0
75   NO.038              朔夜伊芙            恶                 36.1    71.0    -5.0    18.0    46.2    56.0
76   NO.130              龙息帕尔            恶                 36.0    66.5    -5.0    27.0    51.6    33.0
77   NO.095              棋绮后（黑子）         武/地               35.8    63.1    15.0     0.0    75.0    20.0
78   NO.089              圆号鱼             水                 35.7    66.2     9.0    15.0    48.0    40.0
79   NO.075              里拉鳐             水                 35.7    66.1     9.0    10.0    54.4    40.0
80   NO.063              獠牙猪             冰/地               35.4    57.8    19.0    20.0    53.8    14.0
81   NO.140              学院呱呱            武                 35.3    69.2    15.0     0.0    58.5    33.0
82   NO.018              利灯鱼             水/电               35.2    69.0    16.0     0.0    53.9    40.0
83   NO.103              夜枭              幽                 34.8    49.9    16.0    30.0    53.5     9.0
84   NO.098              卷毛鸭             草/武               34.7    69.2     8.0     0.0    51.0    56.0
85   NO.099              溯源钟             幻/机械              34.7    55.3    51.0    37.0     0.0    14.0
86   NO.114              多灵主             幽                 34.5    48.1    16.0    12.0    71.5    20.0
87   NO.017              千棘盔（磨损的样子）      水/毒               34.4    62.7    23.0     5.0    47.8    33.0
88   NO.134              格斗小五            武                 34.4    78.5    15.0    12.0     0.0    88.0
89   NO.021              记忆石             地                 34.0    49.1    12.0    45.0    37.9     5.0
90   NO.116              泥吼牙             地/翼               34.0    61.9    26.0     0.0    53.6    26.0
91   NO.104              乌拉塔（极夜的样子）      恶/冰               33.9    43.6    -2.0    47.0    58.2     0.0
92   NO.011              晶石蜗（烧蓝黄金的样子）    光/地               33.7    45.1    19.0     5.0    86.0     2.0
93   NO.124              陨星虫             虫                 33.7    59.4     9.0    20.0    43.6    33.0
94   NO.144              火焰猿             火                 33.6    52.3    33.0     0.0    68.5     2.0
95   NO.010              红绒十字            火/萌               33.4    60.5    19.0     5.0    56.4    20.0
96   NO.143              怒目怂猫            武                 32.9    62.4    15.0     0.0    58.2    26.0
97   NO.151              月牙雪熊            冰/幻               32.9    54.5     5.0    18.0    64.3     9.0
98   NO.009              幻影灵菇            幽/草               32.8    51.2     9.0    24.0    58.6     5.0
99   NO.087              公平鸽             普通                32.8    63.6     0.0    20.0    43.0    33.0
100  NO.133              冰钻布鲁斯           冰                 32.6    56.5     5.0    20.0    52.4    20.0
101  NO.062              雪灵              冰                 32.4    70.9     5.0     0.0    40.1    56.0
102  NO.052              遁地鼠（储水期的样子）     地                 32.3    63.9    12.0    12.0    38.0    33.0
103  NO.006              水泡壳（蜕皮时的样子）     水                 32.2    55.9     9.0    15.0    59.1     9.0
104  NO.078              圣代甜甜（杨桃抹茶口味）    冰                 31.7    63.9     5.0     6.0    49.7    33.0
105  NO.032              巨噬针鼹            普通                31.4    56.3     0.0    22.0    52.1    14.0
106  NO.083              机甲小子            机械                31.3    53.3    58.0    20.0     0.0    14.0
107  NO.141              火羽              火/翼               31.2    73.2    26.0     5.0     0.0    64.0
108  NO.035              石冠王蜥（球球尾巴的样子）   地                 31.1    61.7    12.0     0.0    49.9    33.0
109  NO.067              巨灵石             地/幽               31.1    59.6     5.0     0.0    63.1    26.0
110  NO.136              格斗小八            武                 31.1    49.6    15.0    12.0    62.5     2.0
111  NO.029              瞌睡王             普通/武              30.9    57.9    15.0     0.0    64.4     5.0
112  NO.031              魔草巫灵            草/幻               30.8    59.4     9.0     6.0    53.0    20.0
113  NO.118              卡拉波斯            恶                 30.6    64.6    -5.0     0.0    60.8    33.0
114  NO.024              蹦蹦花（象牙球形态）      草/毒               30.5    53.7    16.0     5.0    56.1    14.0
115  NO.058              古啦多             毒/地               30.3    56.4    19.0     5.0    46.0    20.0
116  NO.060              健猫教练            武                 29.5    77.1    15.0     0.0     0.0    72.0
117  NO.012              卷胡巨獭            普通/水              29.4    53.1     9.0     0.0    67.0     9.0
118  NO.152              凡鹰              翼                 29.4    76.0    16.0     0.0     0.0    72.0
119  NO.026              蒲公英娃娃           草/萌               29.3    48.0     2.0    25.0    52.3     2.0
120  NO.097              白发路路            草/萌               28.7    60.8     2.0     0.0    52.2    26.0
121  NO.117              邪眼巨魔            恶/虫               28.4    59.4    -5.0     0.0    59.6    26.0
122  NO.102              鳗尾兽             地/草               28.0    55.2     5.0     0.0    64.8     2.0
123  NO.059              怖哭菇             幻                 27.1    39.6     6.0    30.0    41.4     2.0
124  NO.027              伊贝粉粉            草                 27.0    56.8     2.0     0.0    51.9    20.0
125  NO.111              格兰球             草                 26.7    44.7     2.0    22.0    47.2     2.0
126  NO.094              嗜波螺             地/水               26.6    49.1    12.0    15.0    38.4     5.0
127  NO.127              星云旅者            幻/翼               26.5    73.3     9.0     0.0     0.0    64.0
128  NO.061              雪巨人             冰                 25.8    52.7     5.0     0.0    57.2     2.0
129  NO.080              九幽菇             地/草               25.5    50.0     5.0     0.0    57.4     5.0
130  NO.047              罗隐              地/恶               25.4    54.8     5.0     0.0    51.0     5.0
131  NO.037              壳栗丝鼠            毒                 24.9    58.5    20.0    12.0     0.0    33.0
132  NO.015              蹦床松鼠            普通                24.0    51.7     0.0     0.0    50.7     9.0
133  NO.115              铠甲虫             虫                 24.0    49.9     9.0     0.0    46.2     5.0
134  NO.090              深蓝鲸             水                 23.0    41.4     9.0     0.0    54.2     0.0
135  NO.056              菊花梨             萌                 21.1    43.9     2.0     0.0    47.6     2.0

====================================================================================================
推荐技能（每只4个）
====================================================================================================
1. 熔岩布丁 (水/火) 总分:54.6
   1. 水弹(水/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 落星(普通/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   3. 泡沫(水/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   4. 肥皂泡(水/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。

2. 翼龙 (龙/翼) 总分:54.4
   1. 鹰爪(翼/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   2. 龙之利爪(龙/物理) 能耗3 威力130  蓄力，造成物伤并吸血50%。
   3. 龙息环爆(龙/魔法) 能耗1 威力50  造成魔伤，应对状态：下次技能无需蓄力。
   4. 抓挠(普通/物理) 能耗0 威力30  造成物伤，自己回复1能量。

3. 帕帕斯卡 (机械/翼) 总分:53.6
   1. 风矢(翼/物理) 能耗2 威力80  对敌方精灵造成物理伤害。
   2. 俯冲猛击(翼/物理) 能耗5 威力140  对敌方精灵造成物理伤害。
   3. 钢铁洪流(机械/物理) 能耗3 威力80  造成物伤，本技能位于1号位时威力+90。传动2。
   4. 齿轮扭矩(机械/物理) 能耗3 威力60  造成物伤，每变化1次位置，本技能威力永久+20。

4. 寂灭骨龙 (龙/幽) 总分:53.1
   1. 诡刺(幽/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   2. 龙吼(龙/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   3. 幻象(幽/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   4. 龙之利爪(龙/物理) 能耗3 威力130  蓄力，造成物伤并吸血50%。

5. 绒光优优 (地/光) 总分:51.8
   1. 泥浆(地/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 闪光(光/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   3. 泥巴喷射(地/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   4. 热砂(地/魔法) 能耗2 威力80  对敌方精灵造成魔法伤害。

6. 格斗小六 (武) 总分:50.5
   1. 寸拳(武/物理) 能耗0 威力30  造成物伤，自己回复1能量。
   2. 影袭(武/物理) 能耗3 威力100  对敌方精灵造成物理伤害。
   3. 飞踢(普通/物理) 能耗3 威力100  对敌方精灵造成物理伤害。
   4. 反击拳(武/物理) 能耗2 威力25  造成物伤，2连击，若后手攻击，改为3连击。

7. 圣羽翼王 (翼) 总分:50.1 [注意: 被击败时额外损失魔力]
   1. 后发制人(普通/物理) 能耗3 威力140  造成物理伤害，先手-1。
   2. 翼击(翼/魔法) 能耗3 威力50  造成魔伤，迅捷。
   3. 龙卷风(翼/物理) 能耗5 威力60  造成物伤，迅捷，应对状态：本次技能威力变为1.5倍。
   4. 羽刃(翼/物理) 能耗2 威力70  造成物伤，应对状态：回合结束使敌方紧急脱离。

8. 噼啪鸟 (电/翼) 总分:49.6
   1. 翼击(翼/魔法) 能耗3 威力50  造成魔伤，迅捷。
   2. 龙卷风(翼/物理) 能耗5 威力60  造成物伤，迅捷，应对状态：本次技能威力变为1.5倍。
   3. 羽刃(翼/物理) 能耗2 威力70  造成物伤，应对状态：回合结束使敌方紧急脱离。
   4. 交叉闪电(电/物理) 能耗3 威力100  对敌方精灵造成物理伤害。

9. 星光狮（月光能量的样子） (电/光) 总分:49.1
   1. 导电撞击(电/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   2. 雷暴(电/魔法) 能耗1 威力55  造成魔伤，迸发：本技能获得所有生效过的迸发效果，每获得1种，本技能能耗+1，威力+10。
   3. 离子火花(电/物理) 能耗2 威力80  对敌方精灵造成物理伤害。
   4. 光球(光/魔法) 能耗2 威力80  对敌方精灵造成魔法伤害。

10. 权杖-V (机械) 总分:48.9
   1. 彗星(普通/魔法) 能耗0 威力240  造成魔伤，每失去5%生命，本次技能威力-10，使用后消耗全部生命。
   2. 离子震荡(机械/魔法) 能耗1 威力55  造成魔伤，本技能位于3号位时，威力+40。传动1。
   3. 械斗(机械/物理) 能耗1 威力55  造成物伤，本技能位于1号位时，威力+60。传动1。
   4. 磁暴(机械/魔法) 能耗3 威力95  造成魔伤，本技能位于1号或3号位时，威力+30。传动1。

11. 雅丹鬃 (火) 总分:48.1
   1. 热气(火/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 持续高温(火/魔法) 能耗2 威力70  造成魔伤，应对状态：下次攻击技能威力翻倍。
   3. 炎枪(火/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。
   4. 除厄(火/魔法) 能耗2 威力60  造成魔伤，驱散自己的减益。

12. 声波缇塔 (机械) 总分:47.4
   1. 拆卸(机械/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   2. 主轴(机械/物理) 能耗2 威力75  造成物伤，此技能位置不会改变。
   3. 先发制人(普通/物理) 能耗2 威力55  造成物理伤害，先手+1。
   4. 齿轮切开(机械/物理) 能耗6 威力145  造成物伤，本技能位于1号或3号位时能耗-2。传动1。

13. 海豹船长 (武/水) 总分:46.9
   1. 气波(武/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 泡沫(水/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   3. 斩断(武/物理) 能耗2 威力70  造成物伤，应对状态：额外打断被应对技能。
   4. 气泡(水/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。

14. 影狸 (幽/毒) 总分:46.6
   1. 鬼火(幽/魔法) 能耗0 威力30  造成魔伤，自己回复1能量。
   2. 幻象(幽/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   3. 坟场搏击(幽/物理) 能耗4 威力180  造成物伤，敌方每有1能量，本次技能威力-10%。
   4. 抓挠(普通/物理) 能耗0 威力30  造成物伤，自己回复1能量。

15. 电企鹅 (冰/电) 总分:46.3
   1. 电流(电/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 风吹雪(冰/魔法) 能耗0 威力30  造成魔伤，自己回复1能量。
   3. 超导加速(电/魔法) 能耗2 威力60  造成魔伤，自身获得速度+30。
   4. 极寒领域(冰/魔法) 能耗6 威力105  造成魔伤，若敌方有冻结，本次技能威力+60，应对状态：使冻结翻倍。

16. 裘卡 (毒) 总分:45.7
   1. 毒泡泡(毒/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 瘴气喷射(毒/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。
   3. 毒液渗透(毒/魔法) 能耗5 威力120  造成魔伤，每拥有1层中毒效果，本技能能耗-1，赋予1层中毒。
   4. 感染病(毒/魔法) 能耗4 威力85  造成魔伤，若击败敌方则将中毒转化为印记。

17. 化蝶（奇丽花的样子） (虫/萌) 总分:45.5
   1. 蛰针(虫/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   2. 噬心(虫/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   3. 魅惑(萌/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   4. 超级糖果(萌/物理) 能耗3 威力100  造成物伤，自己获得萌化：本次技能威力+60。

18. 秩序鱿墨 (幽/萌) 总分:45.2
   1. 鞭打(萌/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   2. 诡刺(幽/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   3. 幻象(幽/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   4. 坟场搏击(幽/物理) 能耗4 威力180  造成物伤，敌方每有1能量，本次技能威力-10%。

19. 厉毒修萝 (毒/恶) 总分:45.2
   1. 魔爪(恶/物理) 能耗0 威力30  造成物伤，自己回复1能量。
   2. 跌落(恶/物理) 能耗3 威力120  造成大量物伤，自己获得物攻-50%，应对状态：改为获得物攻+50%。
   3. 毒针(毒/物理) 能耗0 威力20  造成物伤，敌方获得1层中毒效果。
   4. 感染病(毒/魔法) 能耗4 威力85  造成魔伤，若击败敌方则将中毒转化为印记。

20. 闪电鳗鱼 (电/水) 总分:45.1
   1. 泡沫(水/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   2. 雷暴(电/魔法) 能耗1 威力55  造成魔伤，迸发：本技能获得所有生效过的迸发效果，每获得1种，本技能能耗+1，威力+10。
   3. 交叉闪电(电/物理) 能耗3 威力100  对敌方精灵造成物理伤害。
   4. 水光冲击(水/魔法) 能耗5 威力140  对敌方精灵造成魔法伤害。

21. 海枝枝（翠绿纶布） (水/幽) 总分:45.0
   1. 甩水(水/魔法) 能耗0 威力30  造成魔伤，自己回复1能量。
   2. 拍击(普通/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   3. 恐吓(幽/魔法) 能耗2 威力80  对敌方精灵造成魔法伤害。
   4. 天洪(水/魔法) 能耗7 威力140  造成魔伤，应对状态：本技能能耗永久-6。

22. 锤头鹳 (翼/水) 总分:44.9
   1. 鸣叫(翼/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 翼击(翼/魔法) 能耗3 威力50  造成魔伤，迅捷。
   3. 风矢(翼/物理) 能耗2 威力80  对敌方精灵造成物理伤害。
   4. 潮涌(水/物理) 能耗2 威力80  对敌方精灵造成物理伤害。

23. 高脚鹬 (翼) 总分:44.5
   1. 鸣叫(翼/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 鹰爪(翼/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   3. 翼击(翼/魔法) 能耗3 威力50  造成魔伤，迅捷。
   4. 风墙(翼/变化) 能耗2 --  减伤50%，迅捷，应对攻击。

24. 上岸蛙 (幻) 总分:44.3
   1. 粒子对撞(幻/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   2. 偷师(幻/物理) 能耗0 威力30  造成物伤，自己回复1能量。
   3. 双星(幻/物理) 能耗3 威力100  对敌方精灵造成物理伤害。
   4. 空间压迫(幻/物理) 能耗3 威力70  造成物伤，敌方获得1层星陨。

25. 流浪鼠 (地) 总分:44.1
   1. 泥浆(地/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 泥巴喷射(地/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   3. 拍击(普通/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   4. 热砂(地/魔法) 能耗2 威力80  对敌方精灵造成魔法伤害。

26. 恶魔红钻 (虫/恶) 总分:43.9
   1. 灾厄(恶/物理) 能耗1 威力150  对自己造成物伤，应对状态：改为对敌方造成物伤。
   2. 蝙蝠(恶/物理) 能耗2 威力60  造成物伤，吸血100%。
   3. 尾后针(虫/物理) 能耗2 威力80  对敌方精灵造成物理伤害。
   4. 极限撕裂(恶/物理) 能耗4 威力140  造成物伤，若生命高于50%，使用后自己获得双攻-50%。

27. 食尘短绒 (虫/地) 总分:43.7
   1. 尾后针(虫/物理) 能耗2 威力80  对敌方精灵造成物理伤害。
   2. 网缚(虫/物理) 能耗2 威力60  造成物伤，敌方获得物防-30%。
   3. 翅刃(虫/物理) 能耗4 威力90  造成物伤，驱散敌方所有印记，应对状态：改为偷取印记。
   4. 岩土暴击(地/物理) 能耗8 威力140  造成物伤，每被攻击1次，本技能能耗永久-1。

28. 绒仙子 (光/虫) 总分:43.6
   1. 脉冲光线(光/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 啃咬(虫/物理) 能耗0 威力40  造成物伤，1连击，本技能会受奉献影响，每被影响1次，能耗永久+1。
   3. 落星(普通/物理) 能耗0 威力40  对敌方精灵造成物理伤害。
   4. 虫网(虫/魔法) 能耗0 威力30  造成魔伤，自己回复1能量。

29. 帅帅魔偶 (幻) 总分:43.5
   1. 偷师(幻/物理) 能耗0 威力30  造成物伤，自己回复1能量。
   2. 坍缩(幻/魔法) 能耗3 威力85  造成魔伤，若击败敌方，自己获得魔攻+50%。
   3. 拍击(普通/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   4. 花香(草/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。

30. 落陨星兔 (幻/幽) 总分:43.4
   1. 坍缩(幻/魔法) 能耗3 威力85  造成魔伤，若击败敌方，自己获得魔攻+50%。
   2. 拍击(普通/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   3. 恐吓(幽/魔法) 能耗2 威力80  对敌方精灵造成魔法伤害。
   4. 大爆炸(幻/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。

31. 风滚暮虫（枯叶的样子） (普通/虫) 总分:43.3
   1. 拍击(普通/魔法) 能耗1 威力60  对敌方精灵造成魔法伤害。
   2. 虫网(虫/魔法) 能耗0 威力30  造成魔伤，自己回复1能量。
   3. 音波弹(普通/魔法) 能耗1 威力60  造成魔伤，1连击。
   4. 虫蛊(虫/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。

32. 小皮球 (电/幻) 总分:43.2
   1. 大爆炸(幻/魔法) 能耗3 威力100  对敌方精灵造成魔法伤害。
   2. 超导(电/魔法) 能耗3 威力95  造成魔伤，迸发：本技能能耗-1。
   3. 感电(电/魔法) 能耗2 威力60  造成魔伤，每离场1次，本技能使用次数永久+1。
   4. 落雷(电/魔法) 能耗4 威力100  造成魔伤，每次入场，本技能威力永久+20。

33. 立方人 (机械) 总分:43.1
   1. 械斗(机械/物理) 能耗1 威力55  造成物伤，本技能位于1号位时，威力+60。传动1。
   2. 先发制人(普通/物理) 能耗2 威力55  造成物理伤害，先手+1。
   3. 钢铁洪流(机械/物理) 能耗3 威力80  造成物伤，本技能位于1号位时威力+90。传动2。
   4. 齿轮扭矩(机械/物理) 能耗3 威力60  造成物伤，每变化1次位置，本技能威力永久+20。

34. 游蛇魔使 (水/武) 总分:42.9
   1. 潮涌(水/物理) 能耗2 威力80  对敌方精灵造成物理伤害。
   2. 影袭(武/物理) 能耗3 威力100  对敌方精灵造成物理伤害。
   3. 水幕冲击(水/物理) 能耗3 威力100  对敌方精灵造成物理伤害。
   4. 涌泉(水/魔法) 能耗6 威力60  造成魔伤，本技能能耗每-1，威力+10。

35. 咔咔鸟 (翼/普通) 总分:42.8
   1. 猛烈撞击(普通/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   2. 音波弹(普通/魔法) 能耗1 威力60  造成魔伤，1连击。
   3. 翼击(翼/魔法) 能耗3 威力50  造成魔伤，迅捷。
   4. 羽刃(翼/物理) 能耗2 威力70  造成物伤，应对状态：回合结束使敌方紧急脱离。

36. 武者鸡 (火/武) 总分:42.7
   1. 火焰冲锋(火/物理) 能耗1 威力60  对敌方精灵造成物理伤害。
   2. 闪燃(火/物理) 能耗1 威力35  造成物伤，应对状态：本次技能威力变为4倍。
   3. 火焰切割(火/物理) 能耗3 威力100  对敌方精灵造成物理伤害。
   4. 截拳(武/物理) 能耗3 威力85  造成物伤，应对状态：额外造成打断，回复该技能能耗的能量。

37. 针叶巡林 (草/武) 总分:42.0
   1. 顶端优势(草/物理) 能耗3 威力100  对敌方精灵造成物理伤害。
   2. 影袭(武/物理) 能耗3 威力100  对敌方精灵造成物理伤害。
   3. 先发制人(普通/物理) 能耗2 威力55  造成物理伤害，先手+1。
   4. 缠丝劲(武/物理) 能耗1 威力25  造成物伤，2连击。

38. 炽心勇狮 (火/武) 总分:41.9
   1. 气波(武/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
   2. 炎打(火/魔法) 能耗2 威力95  造成高额魔法伤害，自己获得物防-40%。
   3. 持续高温(火/魔法) 能耗2 威力70  造成魔伤，应对状态：下次攻击技能威力翻倍。
   4. 斩断(武/物理) 能耗2 威力70  造成物伤，应对状态：额外打断被应对技能。

39. 嘟嘟锅 (毒) 总分:41.5
   1. 毒泡泡(毒/魔法) 能耗0 威力40  对敌方精灵造成魔法伤害。
